YEAR,CHN,JPN,KOR,MEX,EUN,ROW,USA,ARG,BRA,UKR,IND,RUS
2062,31575.55884,70666.6249,51952.40562,18943.44177,76176.9296,28367.31695,129655.7355,16928.43463,27220.75215,6985.465918,13306.0665,17389.09186
2063,32097.08482,71362.18406,52537.49649,19190.28061,77480.23995,28887.21212,132176.4292,17109.21034,27730.68282,7065.053092,13581.22077,17530.21244
2064,32627.22471,72064.5895,53129.17667,19440.33583,78805.84863,29416.63555,134746.1287,17291.91652,28250.16611,7145.547022,13862.0649,17672.47829
2065,33166.1208,72773.90859,53727.5204,19693.64935,80154.13713,29955.76186,137365.7869,17476.57379,28779.38096,7226.958041,14148.71658,17815.89868
2066,33713.9177,73490.20938,54332.6027,19950.26363,81525.49349,30504.76888,140036.375,17663.20298,29318.50968,7309.296595,14441.29588,17960.483
2067,34270.76244,74213.56059,54944.49947,20210.22166,82920.31237,31063.83769,142758.8831,17851.82515,29867.73798,7392.573253,14739.92539,18106.24069
2068,34836.80445,74944.03162,55563.28746,20473.56703,84338.99519,31633.1527,145534.3208,18042.46158,30427.25507,7476.798704,15044.73021,18253.18127
2069,35412.19564,75681.69255,56189.04427,20740.34387,85781.95024,32212.9017,148363.7169,18235.13379,30997.25367,7561.983756,15355.83805,18401.31435
2070,35997.09042,76426.61415,56821.84839,21010.59689,87249.5928,32803.2759,151248.1205,18429.8635,31577.93015,7648.139343,15673.37925,18550.64959
2071,36591.64578,77178.86788,57461.77919,21284.3714,88742.34524,33404.47005,154188.6011,18626.6727,32169.48454,7735.276522,15840.75304,18701.19676
2072,37196.02126,77938.52591,58108.91692,21561.71326,90260.63717,34016.68244,157186.2489,18825.58359,32772.1206,7823.406477,16009.9142,18852.96568
2073,37810.37907,78705.66112,58763.34275,21842.66898,91804.90554,34640.115,160242.1752,19026.61861,33386.04595,7912.540518,16180.8818,19005.96628
2074,38434.88409,79480.34711,59425.13877,22127.28564,93375.59478,35274.97337,163357.5131,19229.80046,34011.47205,8002.690087,16353.67514,19160.20856
2075,39069.7039,80262.6582,60094.38796,22415.61094,94973.15693,35921.46696,166533.4177,19435.15204,34648.61437,8093.866752,16528.31372,19315.70258
2076,39715.00888,81052.66943,60771.17428,22707.6932,96598.05175,36579.809,169771.0664,19642.69653,35297.69237,8186.082216,16704.81724,19472.45851
2077,40370.97221,81850.45661,61455.5826,23003.58139,98250.74688,37250.21665,173071.6597,19852.45736,35958.92965,8279.348314,16883.20561,19630.48658
2078,41037.76992,82656.09627,62147.69877,23303.32509,99931.71796,37932.91103,176436.4212,20064.45818,36632.55399,8373.677016,17063.49897,19789.79713
2079,41715.58098,83469.6657,62847.60958,23606.97454,101641.4488,38628.11733,179866.5985,20278.72293,37318.79745,8469.080429,17245.71765,19950.40056
2080,42404.58728,84291.24294,63555.40283,23914.58064,103380.4313,39336.06485,183363.4634,20495.27576,38017.89641,8565.570796,17429.88222,20112.30736
